Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,24992089,0,0.033,9975.512
find,0,30037215,0,0.189,11934.383
find,0,600093,0,0.016,409.763
find,0,30799922,0,0.023,12205.687
find,1,2707387,0,0.009,833.975
find,1,6013986,0,0.225,1559.342
find,1,5751667,0,0.447,1519.552
find,1,4999314,0,0.016,1318.423
insert,0,300412,300412,0.009,70.883
insert,0,308741,308741,0.008,71.344
insert,0,287105,287105,0.005,68.454
insert,0,299088,299088,0.006,70.231
insert,1,889669,889669,0.01,206.681
insert,1,820970,820970,0.006,197.684
insert,1,761867,761867,0.013,189.83
insert,1,916080,916080,0.015,208.622
