Type of thread,Thread Id,Worst Case Bucket,Worst Case Time,Total Time,Number of Operations
futex,0,0,4.522,37.197,106120
futex,1,2,2.886,31.311,91392
futex,2,1,1.143,29.269,78698
futex,3,1,4.777,37.048,85036
futex,4,1,2.537,29.08,78268
futex,5,1,1.385,33.098,84908
futex,6,1,3.175,33.436,86778
futex,7,0,3.238,34.092,99382
futex,8,2,3.378,33.599,88930
futex,9,1,2.992,29.624,76268
futex,10,1,6.173,42.643,89614
futex,11,3,4.906,37.507,95536
futex,12,1,0.412,30.849,96256
futex,13,1,0.671,28.848,80384
futex,14,1,1.779,32.606,92908
futex,15,1,0.866,28.546,92454
futex,16,1,3.163,31.351,80256
futex,17,2,4.571,44.878,102998
futex,18,3,2.426,35.754,98788
futex,19,1,2.394,32.111,98210
futex,20,1,3.158,33.836,85386
futex,21,2,4.302,37.807,91430
futex,22,2,0.286,26.323,79352
futex,23,1,1.195,30.722,91376
futex,24,1,2.207,33.969,94476
futex,25,1,3.692,36.103,102882
futex,26,1,0.3,29.617,100422
futex,27,1,2.729,39.401,98044
futex,28,1,3.21,38.573,94166
futex,29,1,0.78,29.854,99294
futex,30,1,0.348,24.209,74244
futex,31,1,0.9,26.85,91040
futex,32,1,1.366,30.682,102920
futex,33,1,0.681,31.359,104072
futex,34,0,0.446,27.483,89780
futex,35,1,3.463,37.534,108698
futex,36,1,2.145,31.454,96946
futex,37,1,2.388,31.617,90728
futex,38,3,1.995,34.907,99424
futex,39,1,1.974,32.345,98746
futex,40,1,1.909,34.407,102760
futex,41,2,0.198,27.774,90628
futex,42,2,7.426,38.432,93744
futex,43,1,7.748,47.058,109352
futex,44,3,3.687,34.776,99066
futex,45,3,0.727,30.334,97458
futex,46,3,8.555,41.81,98758
futex,47,3,3.781,34.632,76418
futex,48,3,1.598,33.448,105378
futex,49,1,3.671,41.564,94194
futex,50,1,5.149,40.395,88640
futex,51,1,9.072,39.297,91310
futex,52,1,12.82,41.535,87090
futex,53,1,4.425,35.104,83368
futex,54,1,3.716,40.246,97370
futex,55,2,2.81,32.295,90052
futex,56,1,3.409,40.657,95456
futex,57,2,0.52,26.25,80734
futex,58,3,5.25,41.721,114430
futex,59,3,5.794,50.207,102466
futex,60,0,14.377,49.299,98916
futex,61,3,0.495,26.641,82976
futex,62,1,0.892,35.155,111212
futex,63,1,6.079,42.392,107500
insert,0,1,15.688,1603.025,51830240
