Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time
find,0,283289,3.05,10240.202
find,0,282249,2.588,10247.301
find,0,282190,3.806,10203.913
find,1,282727,0.743,10220.916
find,1,284270,3.164,10236.989
find,1,282891,0.866,10218.089
insert,0,6493413,5.974,1423.63
insert,1,6489319,6.017,1419.464
insert,2,9674228,4.64,2094.593
insert,2,11736533,1.196,2472.084
insert,2,9574003,4.615,2071.467
insert,2,11919298,5.941,2283.467
insert,3,11439997,2.35,2450.467
insert,3,11207384,3.854,2416.815
insert,3,11175448,6.034,2406.997
insert,3,11172954,4.516,2413.687
